"Date","Prefecture","Guests_Total","Guests_Prefecture","Guests_OutsidePrefecture","Type_Ryokan","Type_Resort","Type_Business","Type_City","Type_Simple","Type_CompaniesGroups","Pref_Ryokan","Out_Ryokan","Pref_Resort","Out_Resort","Pref_Business","Out_Business","Pref_City","Out_City","Pref_Simple","Out_Simple","Pref_CompaniesGroups","Out_CompaniesGroups","Occupancy_Rate","Occupancy_Tourists","Occupancy_NonTourists","Occupancy_0to9","Occupancy_Tourists_0to9","Occupancy_NonTourists_0to9","Occupancy_10to19","Occupancy_Tourists_10to19","Occupancy_NonTourists_10to19","Occupancy_30to99","Occupancy_Tourists_30to99","Occupancy_NonTourists_30to99","Occupancy_over100","Occupancy_Tourists_over100","Occupancy_NonTourists_over100","Occupancy_Ryokan","Occupancy_Resort","Occupancy_Business","Occupancy_City","Occupancy_Simple","Occupancy_CompaniesGroups"
2020-02-01,"Kumamoto",530960,117980,405420,123520,42600,284380,36730,41760,1970,31160,92360,6630,35980,60680,216150,5850,30880,13160,28600,510,1460,28.8,18.8,44.7,14.4,12.7,19.1,38.5,24.1,48.5,36.6,23.7,57.6,26.9,18.4,48.5,20.6,16.3,53.6,46.4,12.2,6.4
2020-02-01,"Kyoto",1788120,176610,1494740,163360,99470,781940,393130,338510,11700,16280,128540,6680,76620,99280,644920,25910,367220,26140,268030,2310,9390,27.1,25.7,37.9,16.6,17.4,13.9,25.7,20.8,47.2,39.2,38,44.1,37.8,38.5,NA,20.1,30.4,32.1,39,18.2,8
2020-02-01,"Mie",505530,85870,391050,148220,104350,210280,16360,20490,5830,18400,120210,17430,75880,37260,165040,2080,14280,8230,12260,2460,3370,27.8,21.7,46.5,8.7,8.2,12.1,39.1,21.1,57.9,40.6,34.5,54.4,34.8,34.1,49.7,22.3,29.7,54.8,56.2,9.1,3.6
2020-02-01,"Miyagi",737960,219900,482010,154140,56700,423800,64910,37100,1310,74990,70790,22980,33720,93720,303060,11460,53450,15550,20890,1200,110,34,22.7,46.8,15.2,7.3,29.4,41.2,18.6,50.4,44.3,33.3,54.1,33.9,32.6,40.5,24.1,28.5,54.5,41.4,10.1,4.5
2020-02-01,"Miyazaki",383100,66360,295980,36020,75030,233920,18320,19720,90,4950,26130,11070,63960,40280,177820,3030,15290,6940,12770,90,0,38.6,27.1,51.6,21.2,9.1,32.2,45.3,20.1,58.8,51,37.8,70.3,41.6,43,12.1,19.5,36.7,60.1,62.8,10.8,4.1
2020-02-01,"Nagano",1571240,208770,1325000,574360,374360,359800,57470,164170,41070,76020,484900,30530,338920,81950,273690,11000,46480,8560,149150,710,31860,23.8,21.1,39.4,14.6,14,21.4,29.9,23.1,48.1,36.1,32.3,52.4,45,43.8,54.7,20.1,33.1,51.5,46.6,11.5,11.7
2020-02-01,"Nagasaki",503850,90670,396360,76870,100050,235360,61600,26270,3710,17560,57670,8180,91580,45870,174600,5870,55720,10670,15610,2520,1180,28.4,23.6,38.6,14.7,13.2,19,37.8,18.3,52.4,37.7,29.2,61.5,40.5,39.8,54.2,18.4,32.2,50.4,52.8,6,12.9
2020-02-01,"Nara",116010,14370,100360,22740,13710,45000,21500,11990,1070,3670,18760,1150,12570,4310,40230,2620,18890,2300,9170,320,750,13.4,13.2,16.3,4.3,3.2,19.4,15.6,16.2,12.6,24.5,24.4,39.9,39,39,NA,7.7,40.9,33.4,27.7,3.8,9.3
2020-02-01,"Niigata",901100,222690,624200,306490,203900,311020,44750,22670,12260,106410,197160,15500,153760,78240,216250,15620,29140,4150,18410,2780,9480,26.4,21.2,42.1,13.4,12,21.9,38.4,21.3,55,34.3,28.5,50.4,48.8,51.1,41.6,18.8,40.8,52.3,40.2,4.3,25.6
2020-02-01,"Oita",552190,82850,426350,151660,113550,238980,20810,22970,4240,14390,115610,16400,97150,44170,173460,4880,15920,2710,20260,300,3940,29.5,24.9,39,15.8,13.5,21.9,36.7,22.8,48.9,36.2,30,50.7,54.8,54.2,61,23.9,37.7,52,44.1,6.1,8.2
2020-02-01,"Okayama",398160,66770,311020,50290,29010,257120,41460,19090,1190,9540,37830,14510,14500,32380,213200,4990,30970,5330,13350,20,1180,28.5,13.5,45.9,11.9,7.8,22.7,45.8,17.7,56.8,35.6,21.2,49.2,36.4,28.3,50.5,15.7,19.4,53.2,40.9,5.6,20.4
