"Date","Prefecture","NewlyConfirmedCases","NumberOfDeaths","SevereCases"
2020-01-30,"Shizuoka",0,NA,NA
2020-01-30,"Tochigi",0,NA,NA
2020-01-30,"Tokushima",0,NA,NA
2020-01-30,"Tokyo",0,NA,NA
2020-01-30,"Tottori",0,NA,NA
2020-01-30,"Toyama",0,NA,NA
2020-01-30,"Wakayama",0,NA,NA
2020-01-30,"Yamagata",0,NA,NA
2020-01-30,"Yamaguchi",0,NA,NA
2020-01-30,"Yamanashi",0,NA,NA
2020-01-31,"Aichi",0,NA,NA
2020-01-31,"Akita",0,NA,NA
2020-01-31,"Aomori",0,NA,NA
2020-01-31,"Chiba",0,NA,NA
2020-01-31,"Ehime",0,NA,NA
2020-01-31,"Fukui",0,NA,NA
2020-01-31,"Fukuoka",0,NA,NA
2020-01-31,"Fukushima",0,NA,NA
2020-01-31,"Gifu",0,NA,NA
2020-01-31,"Gunma",0,NA,NA
2020-01-31,"Hiroshima",0,NA,NA
2020-01-31,"Hokkaido",0,NA,NA
2020-01-31,"Hyogo",0,NA,NA
2020-01-31,"Ibaraki",0,NA,NA
2020-01-31,"Ishikawa",0,NA,NA
2020-01-31,"Iwate",0,NA,NA
2020-01-31,"Kagawa",0,NA,NA
2020-01-31,"Kagoshima",0,NA,NA
2020-01-31,"Kanagawa",0,NA,NA
2020-01-31,"Kochi",0,NA,NA
2020-01-31,"Kumamoto",0,NA,NA
2020-01-31,"Kyoto",0,NA,NA
2020-01-31,"Mie",0,NA,NA
2020-01-31,"Miyagi",0,NA,NA
2020-01-31,"Miyazaki",0,NA,NA
2020-01-31,"Nagano",0,NA,NA
2020-01-31,"Nagasaki",0,NA,NA
2020-01-31,"Nara",0,NA,NA
2020-01-31,"Niigata",0,NA,NA
2020-01-31,"Oita",0,NA,NA
2020-01-31,"Okayama",0,NA,NA
2020-01-31,"Okinawa",0,NA,NA
2020-01-31,"Osaka",0,NA,NA
2020-01-31,"Saga",0,NA,NA
2020-01-31,"Saitama",0,NA,NA
2020-01-31,"Shiga",0,NA,NA
2020-01-31,"Shimane",0,NA,NA
2020-01-31,"Shizuoka",0,NA,NA
2020-01-31,"Tochigi",0,NA,NA
2020-01-31,"Tokushima",0,NA,NA
2020-01-31,"Tokyo",0,NA,NA
2020-01-31,"Tottori",0,NA,NA
2020-01-31,"Toyama",0,NA,NA
2020-01-31,"Wakayama",0,NA,NA
2020-01-31,"Yamagata",0,NA,NA
2020-01-31,"Yamaguchi",0,NA,NA
2020-01-31,"Yamanashi",0,NA,NA
2020-02-01,"Aichi",0,NA,NA
2020-02-01,"Akita",0,NA,NA
2020-02-01,"Aomori",0,NA,NA
2020-02-01,"Chiba",0,NA,NA
2020-02-01,"Ehime",0,NA,NA
2020-02-01,"Fukui",0,NA,NA
2020-02-01,"Fukuoka",0,NA,NA
2020-02-01,"Fukushima",0,NA,NA
2020-02-01,"Gifu",0,NA,NA
2020-02-01,"Gunma",0,NA,NA
2020-02-01,"Hiroshima",0,NA,NA
2020-02-01,"Hokkaido",0,NA,NA
2020-02-01,"Hyogo",0,NA,NA
2020-02-01,"Ibaraki",0,NA,NA
2020-02-01,"Ishikawa",0,NA,NA
2020-02-01,"Iwate",0,NA,NA
2020-02-01,"Kagawa",0,NA,NA
2020-02-01,"Kagoshima",0,NA,NA
2020-02-01,"Kanagawa",0,NA,NA
2020-02-01,"Kochi",0,NA,NA
2020-02-01,"Kumamoto",0,NA,NA
2020-02-01,"Kyoto",0,NA,NA
2020-02-01,"Mie",0,NA,NA
2020-02-01,"Miyagi",0,NA,NA
